Word,Conc
重力,3.185185
注目,3.481481
状态,3.962963
捉摸,3.851852
走廊,1.888889
走私,2.884615
把关,3.62963
保值,3.75
表现,3.518519
蹩脚,3.25
插嘴,3.0
柴火,1.925926
沉迷,3.407407
称霸,3.444444
成绩,2.555556
冲突,3.074074
虫卵,1.888889
存款,1.777778
大意,3.444444
单据,2.444444
淡忘,3.518519
弹药,2.111111
抵赖,3.481481
地图,1.518519
点数,3.04
胴体,2.88
恶霸,2.37037
法官,1.653846
仿效,3.481481
绯红,3.296296
肥胖,2.148148
沸腾,2.851852
风情,3.777778
福音,3.615385
府第,2.68
复仇,3.037037
刚强,3.333333
供奉,3.407407
鼓手,1.851852
灌注,3.384615
诡辩,3.807692
还原,3.72
毫米,2.333333
壕沟,2.653846
好处,3.444444
好动,3.148148
号角,2.592593
荷花,1.423077
横行,3.64
红包,1.851852
麾下,3.423077
激动,3.185185
肩头,2.0
缴税,2.296296
节奏,3.259259
今晚,1.615385
紧凑,3.185185
紧张,3.111111
进贡,2.851852
惊奇,3.0
就业,2.444444
距离,2.481481
靠山,3.074074
可恨,3.296296
空姐,1.576923
两性,3.111111
潦草,3.307692
临时,3.703704
买家,2.592593
毛孔,1.925926
没法,4.038462
面临,3.592593
面谈,2.703704
苗圃,2.384615
木瓜,1.555556
忸怩,3.541667
品尝,2.962963
屏弃,3.72
奇艺,3.52
权衡,3.592593
拳击,2.037037
容器,2.0
容颜,2.851852
软禁,3.037037
赛跑,1.846154
三国,2.5
食指,1.518519
仕途,3.111111
手巾,1.888889
手巧,3.481481
手足,2.653846
栓塞,3.041667
松树,1.518519
特色,3.37037
添置,3.115385
铁匠,1.62963
外族,2.851852
吸毒,1.740741
下场,3.444444
下沉,3.185185
逍遥,3.961538
效能,3.576923
循环,3.333333
雅号,3.5
岩浆,2.153846
眼罩,1.692308
演出,2.259259
引用,3.555556
隐藏,3.0
有用,3.592593
迂回,3.52
渊博,3.384615
圆满,3.555556
远古,3.185185
月饼,1.444444
运用,3.333333
杂务,3.074074
占领,3.185185
阵营,2.851852
震撼,3.777778
植物,2.0
中等,3.148148
中外,3.444444
肿瘤,2.04
转动,2.884615
庄园,1.962963
自杀,2.148148
走红,3.518519
作品,2.222222
掰开,1.961538
饱和,3.076923
保健,2.961538
必然,2.807692
扁平,2.076923
冰川,1.423077
颤抖,2.423077
陈腐,3.5
陈列,2.576923
成功,3.461538
弛缓,3.36
充足,3.192308
出战,2.28
锄头,1.076923
橱窗,1.076923
揣摩,3.692308
传热,2.96
蹉跎,3.92
错失,3.08
大学,1.68
档次,3.0
荡妇,2.538462
到处,3.692308
得到,2.769231
顶替,2.423077
毒药,1.807692
废置,2.48
芬芳,3.538462
粉饰,3.36
缝纫,1.884615
干爽,2.807692
公平,3.461538
功能,2.807692
构想,3.807692
姑息,4.076923
骸骨,1.538462
害虫,1.846154
和约,2.384615
回条,3.157895
回信,1.961538
婚宴,1.576923
火腿,1.076923
货币,1.769231
级数,3.166667
家具,1.769231
进账,2.730769
惊慌,3.730769
静音,2.192308
酒量,3.653846
拘泥,3.923077
军事,2.692308
看守,2.88
客厅,1.5
离子,3.36
